time,open,high,low,close,tick_volume,spread,real_volume
2026-04-12,4670.253,4685.21,4644.106,4671.399,23096,280,0
2026-04-13,4671.18,4765.957,4664.53,4757.316,286180,280,0
2026-04-14,4757.641,4850.597,4751.499,4836.91,234741,280,0
2026-04-15,4836.967,4871.196,4786.07,4823.502,243266,280,0
2026-04-16,4823.372,4838.381,4772.9,4791.644,229182,280,0
2026-04-17,4791.552,4889.662,4767.543,4832.713,255922,280,0
2026-04-19,4774.48,4795.312,4736.84,4755.167,23534,360,0
2026-04-20,4755.301,4833.046,4745.029,4821.549,245111,280,0
2026-04-21,4821.611,4830.565,4668.161,4737.854,328298,280,0
2026-04-22,4738.065,4772.356,4723.417,4727.939,201570,280,0
2026-04-23,4728.005,4753.764,4664.096,4695.224,335487,280,0
2026-04-24,4695.241,4740.327,4657.574,4708.409,245319,280,0
2026-04-26,4696.068,4699.827,4674.847,4680.054,11816,280,0
2026-04-27,4680.118,4730.097,4666.999,4692.035,198675,280,0
2026-04-28,4692.097,4701.388,4554.716,4595.762,285084,280,0
2026-04-29,4595.826,4610.39,4510.107,4561.653,299336,280,0
2026-04-30,4561.663,4646.963,4540.766,4626.358,294341,280,0
2026-05-01,4626.481,4660.156,4559.759,4613.463,219158,280,0
2026-05-03,4625.982,4629.338,4611.106,4613.705,11725,280,0
2026-05-04,4613.93,4618.524,4500.566,4518.963,343695,280,0
2026-05-05,4518.919,4595.796,4513.414,4593.801,195005,280,0
2026-05-06,4593.855,4722.956,4588.003,4698.97,259620,280,0
2026-05-07,4698.895,4764.737,4681.746,4704.064,294282,280,0
2026-05-08,4703.996,4749.575,4693.892,4715.138,235600,280,0
2026-05-10,4691.841,4698.539,4678.962,4691.675,13013,280,0
2026-05-11,4691.592,4770.005,4648.243,4767.591,256483,280,0
2026-05-12,4767.509,4773.578,4637.982,4716.694,280970,280,0
2026-05-13,4717.084,4727.045,4669.37,4696.689,218023,280,0
2026-05-14,4696.323,4718.881,4644.307,4652.034,254800,280,0
2026-05-15,4652.35,4658.174,4511.162,4539.468,376453,280,0
2026-05-17,4538.378,4554.762,4532.026,4536.897,19329,280,0
2026-05-18,4536.965,4588.92,4480.265,4581.568,405730,280,0
2026-05-19,4581.926,4589.291,4464.373,4489.452,330860,280,0
2026-05-20,4489.396,4552.984,4453.399,4546.321,356041,280,0
2026-05-21,4546.372,4571.018,4488.377,4535.299,342193,280,0
2026-05-22,4535.358,4541.148,4491.538,4507.952,241272,280,0
2026-05-24,4545.352,4579.984,4543.319,4567.183,15814,280,0
2026-05-25,4567.126,4580.336,4550.257,4559.694,157221,280,0
2026-05-26,4559.464,4559.948,4482.236,4519.734,243316,280,0
2026-05-27,4519.674,4525.669,4401.279,4447.141,283489,280,0
2026-05-28,4447.199,4516.588,4366.232,4495.202,311605,280,0
2026-05-29,4495.134,4595.189,4491.898,4540.363,253540,280,0
2026-05-31,4521.201,4545.74,4518.354,4539.642,13284,280,0
2026-06-01,4539.703,4546.159,4447.558,4484.275,248721,280,0
2026-06-02,4484.505,4541.596,4462.055,4474.199,220241,280,0
2026-06-03,4474.127,4496.778,4423.591,4457.096,252667,280,0
2026-06-04,4457.449,4515.517,4443.026,4461.516,254193,280,0
2026-06-05,4461.463,4475.911,4311.591,4328.48,346756,260,0
2026-06-07,4325.114,4347.047,4310.133,4343.828,24464,260,0
2026-06-08,4343.881,4353.374,4268.252,4317.619,372186,260,0
2026-06-09,4317.567,4363.473,4210.259,4222.118,382182,260,0
2026-06-10,4222.061,4228.48,4023.761,4047.127,536226,260,0
2026-06-11,4047.319,4246.421,4036.048,4219.785,619315,260,0
2026-06-12,4219.997,4235.612,4170.058,4218.665,386902,260,0
2026-06-14,4270.346,4308.995,4269.222,4293.94,20042,280,0
2026-06-15,4293.956,4369.303,4285.422,4315.715,245321,260,0
2026-06-16,4315.658,4354.991,4306.684,4331.111,213753,260,0
2026-06-17,4331.252,4382.441,4218.832,4277.846,416439,260,0
2026-06-18,4277.905,4329.955,4186.72,4188.559,327879,260,0
2026-06-19,4188.495,4197.953,4121.613,4155.421,206996,260,0
2026-06-21,4153.418,4164.776,4136.447,4140.09,17317,260,0
2026-06-22,4140.145,4221.174,4139.902,4187.682,295346,260,0
2026-06-23,4187.625,4198.575,4080.659,4099.048,353004,260,0
2026-06-24,4098.986,4111.982,3958.811,4012.325,760998,160,0
2026-06-25,4012.27,4044.217,3962.365,4014.651,477519,240,0
2026-06-26,4014.59,4096.053,3982.879,4088.245,326056,240,0
2026-06-28,4075.881,4085.307,4051.708,4062.831,18273,240,0
2026-06-29,4062.887,4075.713,4000.148,4015.028,306649,240,0
2026-06-30,4014.97,4063.326,3942.099,4005.593,340801,240,0
2026-07-01,4005.653,4115.698,3959.965,4035.169,331651,240,0
2026-07-02,4034.972,4143.965,4030.689,4126.219,355823,160,0
2026-07-03,4126.25,4195.506,4122.97,4174.913,177073,240,0
2026-07-05,4177.917,4202.273,4173.191,4183.104,18341,240,0
2026-07-06,4183.254,4203.185,4128.461,4157.372,259596,240,0
2026-07-07,4157.318,4180.512,4092.054,4098.828,284991,240,0
2026-07-08,4098.723,4134.08,4021.654,4076.276,444630,240,0
2026-07-09,4076.084,4138.136,4054.133,4123.547,259173,240,0
2026-07-10,4123.495,4134.805,4072.871,4119.908,220740,240,0
2026-07-12,4098.561,4099.253,4068.377,4084.311,18558,240,0
2026-07-13,4084.359,4091.182,3986.411,4000.913,344780,240,0
2026-07-14,4000.97,4103.23,3983.307,4053.123,330464,160,0
2026-07-15,4052.928,4081.502,4017.3,4057.9,272180,240,0
2026-07-16,4057.751,4061.333,3969.111,3985.782,300464,240,0
2026-07-17,3985.83,4023.877,3959.36,4017.576,309596,240,0
2026-07-19,4000.132,4002.918,3989.212,3995.373,14090,240,0
2026-07-20,3995.614,4040.714,3982.455,4009.702,279229,240,0
2026-07-21,4009.889,4087.492,4003.81,4080.51,233923,240,0
2026-07-22,4080.711,4166.005,4076.633,4133.267,254888,240,0
2026-07-23,4133.319,4140.985,4039.957,4047.068,287825,240,0
2026-07-24,4047.145,4082.082,4021.844,4052.932,210417,240,0
2026-07-26,4091.771,4096.553,4083.583,4094.171,10981,240,0
2026-07-27,4094.295,4116.17,4065.168,4073.195,251387,240,0
2026-07-28,4073.146,4074.231,4011.292,4025.098,257980,240,0
2026-07-29,4024.898,4116.481,3995.836,4084.754,381987,240,0
2026-07-30,4084.555,4120.412,4028.42,4105.791,382882,240,0
2026-07-31,4105.694,4107.253,4020.875,4043.812,235390,240,0
2026-08-02,4073.04,4079.393,4063.069,4074.778,13975,240,0
2026-08-03,4074.839,4079.02,4018.888,4053.762,243669,240,0
2026-08-04,4053.703,4106.485,4042.403,4072.308,248512,240,0
2026-08-05,4072.356,4208.821,4070.293,4204.639,161957,240,0
