2026-08-05 15:41:02,495 | INFO | TEST | Logger Started
2026-08-05 15:41:02,495 | WARNING | TEST | Spread High
2026-08-05 15:41:02,496 | ERROR | TEST | Database Not Connected
2026-08-05 15:43:05,065 | INFO | TEST | Logger Started
2026-08-05 15:43:05,065 | WARNING | TEST | Spread High
2026-08-05 15:43:05,066 | ERROR | TEST | Database Not Connected
2026-08-05 15:43:38,459 | INFO | TEST | Logger Started
2026-08-05 15:43:38,459 | WARNING | TEST | Spread High
2026-08-05 15:43:38,459 | ERROR | TEST | Database Not Connected
2026-08-05 16:44:57,700 | INFO | DATABASE | Database Connected
2026-08-05 16:44:57,702 | INFO | DATABASE | Database Closed
